iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AKW,IRN_gadm36,IRN.15_1_gadm36,IRN.15.6_1_gadm36,,,
AKX,KAZ_gadm36,KAZ.3_1_gadm36,KAZ.3.2_1_gadm36,,,
AKY,MMR_gadm36,MMR.11_1_gadm36,MMR.11.1_1_gadm36,MMR.11.1.3_1_gadm36,,
ALA,KAZ_gadm36,KAZ.1_1_gadm36,KAZ.1.3_1_gadm36,,,
ALB,USA_gadm36,USA.33_1_gadm36,USA.33.1_1_gadm36,,,
ALC,ESP_gadm36,ESP.10_1_gadm36,ESP.10.1_1_gadm36,ESP.10.1.1_1_gadm36,ESP.10.1.1.3_1_gadm36,
ALD,PER_gadm36,PER.18_1_gadm36,PER.18.2_1_gadm36,PER.18.2.3_1_gadm36,,
ALE,USA_gadm36,USA.44_1_gadm36,USA.44.22_1_gadm36,,,
ALF,NOR_gadm36,NOR.5_1_gadm36,NOR.5.1_1_gadm36,,,
ALG,DZA_gadm36,DZA.4_1_gadm36,DZA.4.5_1_gadm36,,,
ALH,AUS_gadm36,AUS.11_1_gadm36,AUS.11.1_1_gadm36,,,
ALI,USA_gadm36,USA.44_1_gadm36,USA.44.125_1_gadm36,,,
ALJ,ZAF_gadm36,ZAF.8_1_gadm36,ZAF.8.3_1_gadm36,ZAF.8.3.6_1_gadm36,ZAF.8.3.6.2_1_gadm36,
ALK,ETH_gadm36,ETH.8_1_gadm36,ETH.8.1_1_gadm36,ETH.8.1.23_1_gadm36,,
ALL,ITA_gadm36,ITA.9_1_gadm36,ITA.9.4_1_gadm36,ITA.9.4.2_1_gadm36,,
ALM,USA_gadm36,USA.32_1_gadm36,USA.32.20_1_gadm36,,,
ALN,USA_gadm36,USA.14_1_gadm36,USA.14.58_1_gadm36,,,
ALO,USA_gadm36,USA.16_1_gadm36,USA.16.7_1_gadm36,,,
ALP,SYR_gadm36,SYR.2_1_gadm36,SYR.2.6_1_gadm36,,,
ALQ,BRA_gadm36,BRA.21_1_gadm36,BRA.21.5_1_gadm36,BRA.21.5.2_1_gadm36,,
ALR,NZL_gadm36,NZL.12_1_gadm36,NZL.12.1_1_gadm36,,,
ALS,USA_gadm36,USA.6_1_gadm36,USA.6.2_1_gadm36,,,
ALT,BRA_gadm36,BRA.14_1_gadm36,BRA.14.6_1_gadm36,BRA.14.6.1_1_gadm36,,
ALU,SOM_gadm36,SOM.4_1_gadm36,SOM.4.3_1_gadm36,,,
ALV,ESP_gadm36,ESP.6_1_gadm36,ESP.6.4_1_gadm36,ESP.6.4.6_1_gadm36,ESP.6.4.6.11_1_gadm36,
ALW,USA_gadm36,USA.48_1_gadm36,USA.48.36_1_gadm36,,,
ALX,USA_gadm36,USA.1_1_gadm36,USA.1.62_1_gadm36,,,
ALY,EGY_gadm36,EGY.6_1_gadm36,EGY.6.13_1_gadm36,,,
ALZ,,,,,,
AMA,USA_gadm36,USA.44_1_gadm36,USA.44.188_1_gadm36,,,
AMB,MDG_gadm36,MDG.2_1_gadm36,MDG.2.1_1_gadm36,MDG.2.1.2_1_gadm36,MDG.2.1.2.14_1_gadm36,
AMC,TCD_gadm36,TCD.18_1_gadm36,TCD.18.2_1_gadm36,TCD.18.2.1_1_gadm36,,
AMD,IND_gadm36,IND.11_1_gadm36,IND.11.1_1_gadm36,IND.11.1.1_1_gadm36,,
AME,MOZ_gadm36,MOZ.11_1_gadm36,MOZ.11.1_1_gadm36,MOZ.11.1.2_1_gadm36,,
AMF,PNG_gadm36,PNG.5_1_gadm36,PNG.5.1_1_gadm36,,,
AMG,PNG_gadm36,PNG.5_1_gadm36,PNG.5.2_1_gadm36,,,
AMH,ETH_gadm36,ETH.10_1_gadm36,ETH.10.10_1_gadm36,ETH.10.10.1_1_gadm36,,
AMI,IDN_gadm36,IDN.20_1_gadm36,IDN.20.8_1_gadm36,IDN.20.8.3_1_gadm36,IDN.20.8.3.8_1_gadm36,
AMJ,BRA_gadm36,BRA.13_1_gadm36,BRA.13.18_1_gadm36,BRA.13.18.1_1_gadm36,,
AMK,USA_gadm36,USA.6_1_gadm36,USA.6.34_1_gadm36,,,
AML,PAN_gadm36,PAN.2_1_gadm36,PAN.2.2_1_gadm36,PAN.2.2.4_1_gadm36,,
AMM,JOR_gadm36,JOR.2_1_gadm36,JOR.2.1_1_gadm36,,,
AMN,USA_gadm36,USA.23_1_gadm36,USA.23.29_1_gadm36,,,
AMO,TCD_gadm36,TCD.9_1_gadm36,TCD.9.1_1_gadm36,TCD.9.1.8_1_gadm36,,
AMP,MDG_gadm36,MDG.6_1_gadm36,MDG.6.3_1_gadm36,MDG.6.3.1_1_gadm36,MDG.6.3.1.2_1_gadm36,
AMQ,IDN_gadm36,IDN.19_1_gadm36,IDN.19.1_1_gadm36,IDN.19.1.4_1_gadm36,IDN.19.1.4.8_1_gadm36,
AMR,ESP_gadm36,ESP.1_1_gadm36,ESP.1.1_1_gadm36,ESP.1.1.5_1_gadm36,ESP.1.1.5.1_1_gadm36,
AMS,NLD_gadm36,NLD.9_1_gadm36,NLD.9.4_1_gadm36,,,
AMT,AUS_gadm36,AUS.8_1_gadm36,AUS.8.4_1_gadm36,,,
AMU,PNG_gadm36,PNG.18_1_gadm36,PNG.18.4_1_gadm36,,,
AMV,RUS_gadm36,RUS.46_1_gadm36,RUS.46.2_1_gadm36,RUS.46.2.1_1_gadm36,,
AMW,USA_gadm36,USA.16_1_gadm36,USA.16.85_1_gadm36,,,
AMX,AUS_gadm36,AUS.6_1_gadm36,AUS.6.2_1_gadm36,,,
